"Task/Step","Task type","Start date","End date","Status","Summary","Logs"
"Reconciliation for IBM PVU","Reconciliation","4/5/2019 6:27:28 pm","4/5/2019 6:27:30 pm","Completed","License reconcile completed","No"
"Reconcile licenses","Reconciliation","4/5/2019 6:27:28 pm","4/5/2019 6:27:30 pm","Completed","License reconcile completed","Yes"
"FlexNet Manager Suite","PVU Import","4/5/2019 6:27:20 pm","4/5/2019 6:27:28 pm","Completed","Import completed","No"
"Import hardware to staging","PVU Import","4/5/2019 6:27:26 pm","4/5/2019 6:27:27 pm","Completed","Import completed","Yes"
"FNMPDataWarehouse","Data warehouse export","4/5/2019 4:10:28 pm","4/5/2019 4:10:35 pm","Completed","Partial export completed with no changes","No"
"Exporting","Data warehouse export","4/5/2019 4:10:34 pm","4/5/2019 4:10:35 pm","Completed","Partial export completed with no changes","Yes"
"Combined_SCCM_SN_Tanium_Test_Import","Business import","4/5/2019 3:54:46 pm","4/5/2019 3:59:15 pm","Completed","Location - Matched = 16872, Created = 0, Updated = 0, Rejected = 0
Computer Role1 - Matched = 8108, Created = 1, Updated = 0, Rejected = 0
Computer - Matched = 2752, Created = 5508, Updated = 2752, Rejected = 202066
Asset - Matched = 209351, Created = 0, Updated = 209185, Rejected = 3
Asset/Computer - Matched = 0, Created = 0, Updated = 0, Rejected = 0","No"
"Gathering business data","Business import","4/5/2019 3:54:37 pm","4/5/2019 3:54:37 pm","Completed","Business data saved as E:\ProgramData\File\Location\Step\B[S=Combined_SCCM_SN_Tanium_Test_Import]_20190405155435.zip
File size: 2.86 MB","Yes"
"Uploading to Application Server","Business import","4/5/2019 3:54:38 pm","4/5/2019 3:54:41 pm","Completed","Uploaded B[S=Combined_SCCM_SN_Tanium_Test_Import]_20190405155435.zip successfully","No"
"Importing into application server","Business import","4/5/2019 3:54:46 pm","4/5/2019 3:59:15 pm","Completed","Location - Matched = 16872, Created = 0, Updated = 0, Rejected = 0
Computer Role1 - Matched = 8108, Created = 1, Updated = 0, Rejected = 0
Computer - Matched = 2752, Created = 5508, Updated = 2752, Rejected = 202066
Asset - Matched = 209351, Created = 0, Updated = 209185, Rejected = 3
Asset/Computer - Matched = 0, Created = 0, Updated = 0, Rejected = 0","Yes"
"Reconciliation","Reconciliation","4/5/2019 2:05:20 am","4/5/2019 6:24:46 am","Completed","License reconcile completed","No"
"Import inventory devices","Reconciliation","4/5/2019 2:05:20 am","4/5/2019 6:21:15 am","Completed","Inventory device import completed for the following sources:
FlexNet Manager Suite","Yes"
"Reconcile licenses","Reconciliation","4/5/2019 6:21:16 am","4/5/2019 6:24:46 am","Completed","License reconcile completed","Yes"
"SCCM1","Inventory import","4/5/2019 12:00:13 am","4/5/2019 1:18:52 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","No"
"Gathering inventory data","Inventory import","4/5/2019 12:00:15 am","4/5/2019 12:36:49 am","Completed","Inventory data saved as I[S=SCCM1]_20190405003453.zip
File size: 562.46 MB","Yes"
"Uploading to Application Server","Inventory import","4/5/2019 12:36:50 am","4/5/2019 12:37:33 am","Completed","Uploaded: I[S=SCCM1]_20190405003453.zip successfully
File size: 562.46 MB","No"
"Import into staging","Inventory import","4/5/2019 12:38:52 am","4/5/2019 1:18:52 am","Completed","Devices read from source to staging: 70000. Inventory data will be updated by the next reconciliation with inventory updates (Import inventory devices task)","Yes"
"VMWare Introspection","Discovery and inventory rule","4/4/2019 11:04:26 pm","4/4/2019 11:04:28 pm","In progress","Beacon(s) with schedule pending: 1
Total beacon(s) reported: 1
  Beacon(s) in progress: 0
  Beacon(s) completed: 1
  Beacon(s) completed with error: 0
  Beacon(s) timed out: 0","No"
"scrubbed1 - Parent Beacon","Discovery and inventory rule","","","Scheduled","","No"
"scrubbed2 - Child Beacon","Discovery and inventory rule","4/4/2019 11:04:26 pm","4/4/2019 11:04:28 pm","Completed","","No"
"Performing discovery","Discovery and inventory rule","4/4/2019 11:04:26 pm","4/4/2019 11:04:26 pm","Completed","Total discovered devices: 0
Oracle database servers discovered: -
Oracle virtual servers discovered: -
VMware virtual servers discovered: 0
Microsoft Hyper-V servers discovered: -
Microsoft SQL servers discovered: -
XenDesktop devices discovered: -","Yes"
"Gathering VMware inventory","Discovery and inventory rule","4/4/2019 11:04:28 pm","4/4/2019 11:04:28 pm","Completed","Devices discovered: 72
Devices skipped: 72
Devices inventoried: 0
Devices failed to be inventoried: 0","Yes"
"Full_Asset_Importer","Business import","4/4/2019 3:26:31 pm","4/4/2019 3:34:46 pm","Completed","Asset Status1 - Matched = 209857, Created = 6, Updated = 0, Rejected = 0
Asset - Matched = 6535, Created = 203653, Updated = 6502, Rejected = 3
Asset/Computer - Matched = 54527, Created = 149296, Updated = 54527, Rejected = 0","No"
"Gathering business data","Business import","4/4/2019 3:26:19 pm","4/4/2019 3:26:22 pm","Completed","Business data saved as E:\ProgramData\File\Location\Step\B[S=Full_Asset_Importer]_20190404152621.zip
File size: 1.94 MB","Yes"
"Uploading to Application Server","Business import","4/4/2019 3:26:22 pm","4/4/2019 3:26:25 pm","Completed","Uploaded B[S=Full_Asset_Importer]_20190404152621.zip successfully","No"
"Importing into application server","Business import","4/4/2019 3:26:31 pm","4/4/2019 3:34:45 pm","Completed","Asset Status1 - Matched = 209857, Created = 6, Updated = 0, Rejected = 0
Asset - Matched = 6535, Created = 203653, Updated = 6502, Rejected = 3
Asset/Computer - Matched = 54527, Created = 149296, Updated = 54527, Rejected = 0","Yes"
"ARL Import","ARL import","4/1/2019 1:32:59 am","4/1/2019 2:33:06 am","Completed","ARL imported successfully","No"
"ARL importing","ARL import","4/1/2019 1:33:00 am","4/1/2019 2:33:06 am","Completed","ARL imported successfully","No"
"Specific_Location","Business import","3/27/2019 3:01:24 pm","3/27/2019 3:01:39 pm","Completed","Location - Matched = 0, Created = 16872, Updated = 10938, Rejected = 0","No"
"Gathering business data","Business import","3/27/2019 3:01:19 pm","3/27/2019 3:01:21 pm","Completed","Business data saved as E:\ProgramData\File\Location\Step\B[S=Specific_Location]_20190327150121.zip
File size: 163.79 KB","Yes"
"Uploading to Application Server","Business import","3/27/2019 3:01:21 pm","3/27/2019 3:01:23 pm","Completed","Uploaded B[S=Specific_Location]_20190327150121.zip successfully","No"
"Importing into application server","Business import","3/27/2019 3:01:24 pm","3/27/2019 3:01:39 pm","Completed","Location - Matched = 0, Created = 16872, Updated = 10938, Rejected = 0","Yes"
"XenDeskTop","Discovery and inventory rule","3/13/2019 4:28:59 pm","3/13/2019 4:29:52 pm","Completed","Beacon(s) with schedule pending: 0
Total beacon(s) reported: 1
  Beacon(s) in progress: 0
  Beacon(s) completed: 1
  Beacon(s) completed with error: 0
  Beacon(s) timed out: 0","No"
"scrubbed1 - Parent Beacon","Discovery and inventory rule","3/13/2019 4:28:59 pm","3/13/2019 4:29:52 pm","Completed","","No"
"Performing discovery","Discovery and inventory rule","3/13/2019 4:29:52 pm","3/13/2019 4:29:52 pm","Completed","Total discovered devices: 1
Oracle database servers discovered: -
Oracle virtual servers discovered: -
VMware virtual servers discovered: -
Microsoft Hyper-V servers discovered: -
Microsoft SQL servers discovered: -
XenDesktop devices discovered: 0","Yes"
"Gathering XenDesktop inventory","Discovery and inventory rule","3/13/2019 4:28:59 pm","3/13/2019 4:29:52 pm","Completed","Devices discovered: 0
Devices skipped: 0
Devices inventoried: 0
Devices failed to be inventoried: 0","Yes"
